Epoch,Train_Loss,Val_Loss,LR
145,0.694258,0.780672,4.69e-06
146,0.706747,0.737902,4.69e-06
147,0.719219,0.757604,4.69e-06
148,0.704407,0.746090,2.34e-06
149,0.702299,0.722895,2.34e-06
150,0.711287,0.796943,2.34e-06
151,0.705530,0.736045,2.34e-06
152,0.705695,0.732161,2.34e-06
153,0.698943,0.714566,2.34e-06
154,0.701416,0.726087,2.34e-06
155,0.714756,0.739355,2.34e-06
156,0.717562,0.760806,2.34e-06
157,0.688519,0.752004,2.34e-06
158,0.711695,0.736631,2.34e-06
159,0.711625,0.756261,2.34e-06
160,0.723817,0.709182,2.34e-06
161,0.716880,0.705105,1.17e-06
162,0.676581,0.806758,1.17e-06
163,0.712998,0.761582,1.17e-06
164,0.698772,0.798055,1.17e-06
165,0.690901,0.761574,1.17e-06
166,0.704752,0.737702,1.17e-06
167,0.674596,0.746010,1.17e-06
168,0.694654,0.716971,1.17e-06
169,0.693244,0.802233,1.17e-06
170,0.697566,0.777166,1.17e-06
171,0.721090,0.743272,1.17e-06
172,0.712568,0.738673,1.17e-06
173,0.699348,0.758736,1.17e-06
174,0.692335,0.723617,1.00e-06
175,0.710977,0.737533,1.00e-06
176,0.709837,0.785143,1.00e-06
177,0.687856,0.699709,1.00e-06
178,0.693428,0.742555,1.00e-06
179,0.719959,0.822195,1.00e-06
180,0.696969,0.751003,1.00e-06
181,0.691255,0.754431,1.00e-06
182,0.688528,0.732241,1.00e-06
183,0.711390,0.748726,1.00e-06
184,0.693932,0.723204,1.00e-06
185,0.716544,0.744129,1.00e-06
186,0.705485,0.735629,1.00e-06
187,0.699753,0.769738,1.00e-06
188,0.700845,0.751739,1.00e-06
189,0.702110,0.712038,1.00e-06
190,0.702034,0.717774,1.00e-06
191,0.688716,0.743721,1.00e-06
192,0.711972,0.767637,1.00e-06
193,0.708041,0.747491,1.00e-06
194,0.698929,0.733996,1.00e-06
195,0.710585,0.742825,1.00e-06
196,0.702193,0.750481,1.00e-06
197,0.694841,0.763762,1.00e-06
198,0.697046,0.743792,1.00e-06
199,0.685932,0.739890,1.00e-06
